Company,Rating,Review
Jet Airways,4.4,795
Naukri.com,3.7,443
Accor,4.0,2
VFS Global,3.4,830
CVS Health,3.0,31
Securitas,3.2,4
Clifford Chance,4.0,683
Uniqlo,3.4,4
Bed Bath & Beyond,3.4,5
McDermott,3.8,1
McAfee,4.1,2
Allianz Partners,3.6,1
Proptiger,4.6,436
Zycus,3.5,943
PeopleStrong Technologies,3.7,397
Western Digital,3.9,3
Air India,4.0,616
Kohler Co.,3.9,1
Sopra Banking Software,3.8,476
Future Group,3.9,947
SirionLabs,4.3,249
Gap,3.7,8
DMI,3.9,556
Quest Global,3.6,2
Practo Technologies,4.0,893
Ingram Micro,3.9,2
Tata Technologies,3.6,2
WM,3.6,3
MAQ Software,3.1,945
SS&C,3.2,2
TravelTriangle,3.9,332
"Sun Pharmaceutical Industries, Inc.",3.8,903
Digitas,3.9,1
no/one,3.8,387
Shapoorji Pallonji,3.9,849
Havells India,4.0,474
Goodyear,3.8,2
Korn Ferry,3.7,2
Akzo Nobel Worldwide,3.8,2
Roche,4.2,6
Vodafone Idea,3.8,1
Progressive Infotech,3.9,365
CA Technologies,3.9,3
Signify,3.8,1
Lenovo,3.9,3
Weber Shandwick,3.8,1
Wolters Kluwer,3.8,3
Paisabazaar.com,4.6,445
CitiusTech,3.9,1
Philip Morris International,4.1,3
KBR,3.8,2
Walgreens,3.1,27
SGS,3.3,2
Vedanta Resources,3.6,772
CareerBuilder,3.4,1
Egon Zehnder,3.8,457
Internshala,4.1,489
DHL Express,4.0,3
Bajaj Auto,3.8,808
Goodwill,3.3,6
Denave,3.6,328
American Tower,3.8,807
None of Your Business Boutique,4.3,725
Indian Air Force,4.7,489
RSM,4.0,4
Great Learning,4.1,505
Pernod Ricard,4.1,1
Sutherland,3.9,6
CSS Corporation,3.6,1
Cheil Worldwide,3.2,773
Fluper,4.0,330
Infinite Computer Solutions,3.7,1
Kumon,3.9,5
Legato Health Technologies,4.0,1
Avon,3.9,3
Nutanix,4.2,1
LivSpace,3.5,666
SUEZ,3.8,1
Micron Technology,3.9,4
Spicejet,3.4,399
Cipla,3.9,1
Olam,3.9,832
McCann Worldgroup,3.7,1
SOTI,3.5,460
Freshworks,4.2,1
Ericsson IT Solutions & Services,4.1,683
Cuelearn,4.4,845
The World Bank,4.1,2
North American Corporation,3.8,486
Birdeye,4.3,459
Innodata,3.7,345
Lava International,3.7,425
Elsevier,4.4,1
Samsung SDS,3.4,913
Toshiba,3.6,1
Milliman,4.1,625
Knowlarity Communications,3.8,289
Tata Teleservices,3.7,691
Dentsu International,3.6,1
UNDP,4.1,1
Intertek,3.1,2
Cision,3.2,1
Wiley,3.9,1
GEICO,3.3,8
Algoworks Technologies,4.2,238
Clearwater Analytics,3.0,529
DB Schenker,3.5,2
Maxim Healthcare Services,3.5,3
Hindustan Petroleum,4.1,775
Startek,3.2,1
Tesla,3.7,7
Magic Software,3.6,319
Reliance Communications,3.6,965
Knoldus Software,4.0,268
Citicorp Services India,3.8,1
Wipro Digital,3.8,823
Cogent E Services,3.7,332
Autodesk,4.2,3
Experis,3.7,2
ltcc,3.6,694
McGraw Hill,4.0,1
Patni Computer Systems,4.2,452
WeWork,3.6,2
Jindal Steel & Power,3.8,483
PeopleScout,3.5,730
IDBI Bank,3.6,724
Current,4.3,432
GSPANN Technologies,4.0,317
Tata,4.1,1
Droom,4.5,292
Trane Technologies,4.4,2
eClerx,3.5,3
Diverse Lynx,3.9,192
Mobiloitte,2.8,352
Renault Group,3.7,4
Optimus Information,4.1,346
Punjab National Bank,3.8,467
HERE Technologies,3.7,2
Sify,3.5,706
Canon,3.6,1
American Airlines,3.8,6
Edelweiss Financial Services,3.9,918
Airbus,4.1,4
G4S Secure Solutions,3.3,2
OpenText,3.7,3
DICK'S Sporting Goods,3.8,8
Dynata,3.3,1
Citrix,3.8,4
Tradeindia.com - Infocom Network,4.0,475
FactSet,4.0,3
Merck,4.1,5
Country Holidays Inn & Suites,4.6,662
Grant Thornton International,3.9,819
Biz2Credit,4.2,337
Unisys,3.7,4
Clarivate,3.5,976
TeamLease Staffing Solutions,3.4,679
Avaya,3.9,3
Intellect Design Arena,4.0,1
Aviva,3.6,2
Centric Consulting,3.9,413
ASDA,3.5,7
Net2source,3.7,249
Bravura Solutions,3.5,273
Nuance,4.0,2
HighRadius,4.0,1
Lionbridge,3.7,3
ServiceNow,4.5,2
Deutsche Gesellschaft für Internationale Zusammenarbeit,4.0,1
RBL Bank,3.8,507
Bayer,4.1,6
ICICI Lombard General Insurance Company Limited,3.7,863
eBay,4.1,4
Bennett Coleman and Co. Ltd. (Times Group),3.8,524
JCB,3.8,629
Leo Burnett,3.6,1
Rahul Infotech,3.8,427
HSBC Electronic Data Processing India,3.9,884
